time,response_code,birth_year,postal_code,lat,long,city,ine_code
"2017-09-26 13:21:05,484",OK,,,,,,
"2017-09-26 13:21:07,936",NOT_FOUND,,,,,,
"2017-09-26 13:21:14,893",NOT_FOUND,,,,,,
"2017-09-26 13:21:17,515",NO_3_DATA,,,,,,
"2017-09-26 13:21:20,849",NO_3_DATA,,,,,,
"2017-09-26 13:21:47,883",NOT_FOUND,,,,,,
"2017-09-26 13:21:51,617",NO_3_DATA,,,,,,
"2017-09-26 13:21:57,220",NO_3_DATA,,,,,,
"2017-09-26 13:21:58,090",NOT_FOUND,,,,,,
"2017-09-26 13:21:58,483",NO_3_DATA,,,,,,
"2017-09-26 13:21:58,834",OK,,,,,,
"2017-09-26 13:22:05,782",NOT_FOUND,,,,,,
"2017-09-26 13:22:12,339",NO_3_DATA,,,,,,
"2017-09-26 13:22:17,511",NO_3_DATA,,,,,,
"2017-09-26 13:22:19,079",NOT_FOUND,,,,,,
"2017-09-26 13:22:19,654",NO_3_DATA,,,,,,
"2017-09-26 13:22:27,951",NO_3_DATA,,,,,,
"2017-09-26 13:22:47,956",OK,,,,,,
"2017-09-26 13:22:56,354",NO_3_DATA,,,,,,
"2017-09-26 13:22:59,822",NO_3_DATA,,,,,,
"2017-09-26 13:23:12,404",OK,,,,,,
"2017-09-26 13:23:14,726",OK,,,,,,
"2017-09-26 13:23:16,116",OK,,,,,,
"2017-09-26 13:23:18,165",NO_3_DATA,,,,,,
"2017-09-26 13:23:23,614",NO_3_DATA,,,,,,
"2017-09-26 13:23:34,557",OK,,,,,,
"2017-09-26 13:23:36,642",NO_3_DATA,,,,,,
"2017-09-26 13:23:39,945",NOT_FOUND,,,,,,
"2017-09-26 13:23:47,435",NO_3_DATA,,,,,,
"2017-09-26 13:23:56,604",OK,,,,,,
"2017-09-26 13:24:04,806",OK,,,,,,
"2017-09-26 13:24:06,297",NO_3_DATA,,,,,,
"2017-09-26 13:24:06,910",BAD_NIF,,,,,,
"2017-09-26 13:24:11,563",BAD_NIF,,,,,,
"2017-09-26 13:24:14,533",NO_3_DATA,,,,,,
"2017-09-26 13:24:16,575",NO_3_DATA,,,,,,
"2017-09-26 13:24:18,599",NO_3_DATA,,,,,,
"2017-09-26 13:24:25,592",OK,,,,,,
"2017-09-26 13:24:25,787",NO_3_DATA,,,,,,
"2017-09-26 13:24:33,498",NO_3_DATA,,,,,,
"2017-09-26 13:24:33,774",OK,,,,,,
"2017-09-26 13:24:39,308",OK,,,,,,
"2017-09-26 13:24:42,116",OK,,,,,,
"2017-09-26 13:24:50,760",OK,,,,,,
"2017-09-26 13:24:56,637",NOT_FOUND,,,,,,
"2017-09-26 13:25:09,059",OK,,,,,,
"2017-09-26 13:25:11,939",OK,,,,,,
"2017-09-26 13:25:13,183",OK,,,,,,
"2017-09-26 13:25:15,170",NO_3_DATA,,,,,,
"2017-09-26 13:25:15,988",OK,,,,,,
"2017-09-26 13:25:22,305",NO_3_DATA,,,,,,
"2017-09-26 13:25:24,055",NO_3_DATA,,,,,,
"2017-09-26 13:25:26,385",NO_3_DATA,,,,,,
"2017-09-26 13:25:31,884",NO_3_DATA,,,,,,
"2017-09-26 13:25:32,283",NO_3_DATA,,,,,,
"2017-09-26 13:25:34,410",BAD_NIF,,,,,,
"2017-09-26 13:25:45,976",NO_3_DATA,,,,,,
"2017-09-26 13:25:46,609",NO_3_DATA,,,,,,
"2017-09-26 13:25:57,744",OK,,,,,,
"2017-09-26 13:25:59,661",NO_3_DATA,,,,,,
"2017-09-26 13:26:02,266",NO_3_DATA,,,,,,
"2017-09-26 13:26:09,757",NO_3_DATA,,,,,,
"2017-09-26 13:26:11,054",NOT_FOUND,,,,,,
"2017-09-26 13:26:20,674",NOT_FOUND,,,,,,
"2017-09-26 13:26:20,942",OK,,,,,,
"2017-09-26 13:26:22,887",NO_3_DATA,,,,,,
"2017-09-26 13:26:26,114",NO_3_DATA,,,,,,
"2017-09-26 13:26:36,370",NOT_FOUND,,,,,,
"2017-09-26 13:26:40,457",NO_3_DATA,,,,,,
"2017-09-26 13:26:44,521",NO_3_DATA,,,,,,
"2017-09-26 13:27:00,837",NO_3_DATA,,,,,,
"2017-09-26 13:27:00,940",OK,,,,,,
"2017-09-26 13:27:01,043",OK,,,,,,
"2017-09-26 13:27:05,254",NO_3_DATA,,,,,,
"2017-09-26 13:27:06,584",NOT_FOUND,,,,,,
"2017-09-26 13:27:17,895",NOT_FOUND,,,,,,
"2017-09-26 13:27:20,062",NO_3_DATA,,,,,,
"2017-09-26 13:27:20,264",NO_3_DATA,,,,,,
"2017-09-26 13:27:27,728",NO_3_DATA,,,,,,
