time,city,ine_code
"2017-09-26T14:14:46+02:00",Caldes de Montbui,08033
"2017-09-26T14:14:48+02:00",Caldes de Montbui,08033
"2017-09-26T14:14:56+02:00",Vic,08298
"2017-09-26T14:14:57+02:00",Sant Celoni,08202
"2017-09-26T14:15:00+02:00",Rubí,08184
"2017-09-26T14:15:04+02:00",Perelló, El,43104
"2017-09-26T14:15:13+02:00",Matadepera,08120
"2017-09-26T14:15:46+02:00",Sant Pere de Ribes,08231
"2017-09-26T14:16:24+02:00",Caldes de Montbui,08033
"2017-09-26T14:16:33+02:00",Caldes de Montbui,08033
"2017-09-26T14:16:45+02:00",Sabadell,08187
"2017-09-26T14:16:55+02:00",Altafulla,43012
"2017-09-26T14:16:58+02:00",Barcelona,08019
"2017-09-26T14:17:09+02:00",Calafell,43037
"2017-09-26T14:17:56+02:00",Tarragona,43148
"2017-09-26T14:18:30+02:00",Manresa,08113
"2017-09-26T14:18:33+02:00",Barcelona,08019
"2017-09-26T14:18:50+02:00",Altafulla,43012
"2017-09-26T14:19:01+02:00",Tarragona,43148
"2017-09-26T14:19:27+02:00",Barcelona,08019
"2017-09-26T14:19:49+02:00",Cerdanyola del Vallès,08266
"2017-09-26T14:20:24+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:20:26+02:00",Piera,08161
"2017-09-26T14:20:32+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:20:35+02:00",Berga,08022
"2017-09-26T14:20:39+02:00",Cervera,25072
"2017-09-26T14:20:50+02:00",Sentmenat,08267
"2017-09-26T14:21:00+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:21:41+02:00",Barcelona,08019
"2017-09-26T14:21:46+02:00",Canet de Mar,08040
"2017-09-26T14:22:02+02:00",Vilallonga del Camp,43166
"2017-09-26T14:22:06+02:00",Vilanova del Camí,08302
"2017-09-26T14:22:06+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:22:08+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:22:18+02:00",Berga,08022
"2017-09-26T14:22:19+02:00",Manresa,08113
"2017-09-26T14:22:26+02:00",Castelldefels,08056
"2017-09-26T14:22:32+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:22:50+02:00",Terrassa,08279
"2017-09-26T14:22:52+02:00",Tarragona,43148
"2017-09-26T14:22:54+02:00",Berga,08022
"2017-09-26T14:22:57+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:23:27+02:00",Mataró,08121
"2017-09-26T14:24:01+02:00",Sant Boi de Llobregat,08200
"2017-09-26T14:24:22+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:24:56+02:00",Caldes de Montbui,08033
"2017-09-26T14:25:12+02:00",Piera,08161
"2017-09-26T14:25:12+02:00",Barcelona,08019
"2017-09-26T14:25:21+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:25:26+02:00",Barcelona,08019
"2017-09-26T14:25:51+02:00",Pineda de Mar,08163
"2017-09-26T14:26:42+02:00",Barcelona,08019
"2017-09-26T14:26:55+02:00",Mataró,08121
"2017-09-26T14:27:05+02:00",Barcelona,08019
"2017-09-26T14:27:12+02:00",Barcelona,08019
"2017-09-26T14:27:15+02:00",Tarragona,43148
"2017-09-26T14:27:37+02:00",Martorelles,08115
"2017-09-26T14:27:43+02:00",Amposta,43014
"2017-09-26T14:28:00+02:00",Banyoles,17015
"2017-09-26T14:28:21+02:00",Barcelona,08019
"2017-09-26T14:28:22+02:00",Cànoves i Samalús,08042
"2017-09-26T14:28:24+02:00",Granollers,08096
"2017-09-26T14:28:26+02:00",Barcelona,08019
"2017-09-26T14:29:14+02:00",Hospitalet de Llobregat, L',08101
"2017-09-26T14:29:28+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:29:41+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:29:46+02:00",Cornudella de Montsant,43049
"2017-09-26T14:30:02+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:30:19+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:30:20+02:00",Barberà del Vallès,08252
"2017-09-26T14:30:22+02:00",Barcelona,08019
"2017-09-26T14:30:28+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:30:29+02:00",Estany, L',08079
"2017-09-26T14:30:36+02:00",Barcelona,08019
"2017-09-26T14:30:38+02:00",Salou,43905
"2017-09-26T14:30:49+02:00",Barcelona,08019
"2017-09-26T14:31:00+02:00",Terrassa,08279
"2017-09-26T14:31:08+02:00",Granollers,08096
"2017-09-26T14:31:17+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:31:45+02:00",Reus,43123
"2017-09-26T14:31:49+02:00",Barcelona,08019
"2017-09-26T14:32:02+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:32:53+02:00",Granollers,08096
"2017-09-26T14:32:54+02:00",Santa Eulàlia de Ronçana,08248
"2017-09-26T14:32:54+02:00",Callús,08038
"2017-09-26T14:32:54+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:33:12+02:00",Granollers,08096
"2017-09-26T14:33:14+02:00",Estany, L',08079
"2017-09-26T14:33:35+02:00",Barcelona,08019
"2017-09-26T14:33:38+02:00",Barcelona,08019
"2017-09-26T14:34:13+02:00",Pineda de Mar,08163
"2017-09-26T14:34:24+02:00",Cànoves i Samalús,08042
"2017-09-26T14:34:44+02:00",Sentmenat,08267
"2017-09-26T14:34:56+02:00",Riudaura,17149
"2017-09-26T14:35:07+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:35:29+02:00",Terrassa,08279
"2017-09-26T14:35:47+02:00",Lleida,25120
"2017-09-26T14:36:14+02:00",Cànoves i Samalús,08042
"2017-09-26T14:36:22+02:00",Gelida,08091
"2017-09-26T14:36:46+02:00",Sabadell,08187
"2017-09-26T14:37:04+02:00",Tarragona,43148
"2017-09-26T14:37:08+02:00",Tarragona,43148
"2017-09-26T14:37:18+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:37:30+02:00",Barcelona,08019
"2017-09-26T14:37:36+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:37:41+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:37:48+02:00",Barcelona,08019
"2017-09-26T14:37:59+02:00",Castellar del Vallès,08051
"2017-09-26T14:38:01+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:38:16+02:00",Sant Llorenç Savall,08223
"2017-09-26T14:38:18+02:00",Lleida,25120
"2017-09-26T14:38:20+02:00",Cànoves i Samalús,08042
"2017-09-26T14:38:39+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:38:42+02:00",Mataró,08121
"2017-09-26T14:39:09+02:00",Torre-serona,25233
"2017-09-26T14:39:37+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:39:38+02:00",Rubí,08184
"2017-09-26T14:39:51+02:00",Valls,43161
"2017-09-26T14:39:59+02:00",Barcelona,08019
"2017-09-26T14:40:12+02:00",Cerdanyola del Vallès,08266
"2017-09-26T14:41:04+02:00",Sabadell,08187
"2017-09-26T14:41:19+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:41:37+02:00",Castellnou de Bages,08062
"2017-09-26T14:42:06+02:00",Hospitalet de Llobregat, L',08101
"2017-09-26T14:42:28+02:00",Tarragona,43148
"2017-09-26T14:42:45+02:00",Vilobí del Penedès,08304
"2017-09-26T14:42:56+02:00",Franqueses del Vallès, Les,08086
"2017-09-26T14:42:58+02:00",Igualada,08102
"2017-09-26T14:43:00+02:00",Vilafranca del Penedès,08305
"2017-09-26T14:43:06+02:00",Barcelona,08019
"2017-09-26T14:43:10+02:00",Granollers,08096
"2017-09-26T14:43:14+02:00",Sant Antoni de Vilamajor,08198
"2017-09-26T14:43:15+02:00",Barcelona,08019
"2017-09-26T14:43:30+02:00",Bagà,08016
"2017-09-26T14:43:30+02:00",Vallirana,08295
"2017-09-26T14:43:32+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:43:55+02:00",Balaguer,25040
"2017-09-26T14:44:13+02:00",Reus,43123
"2017-09-26T14:44:14+02:00",Terrassa,08279
"2017-09-26T14:44:20+02:00",Caldes de Montbui,08033
"2017-09-26T14:44:39+02:00",Granollers,08096
"2017-09-26T14:45:04+02:00",Reus,43123
"2017-09-26T14:45:28+02:00",Llinars del Vallès,08106
"2017-09-26T14:45:34+02:00",Cornellà de Llobregat,08073
"2017-09-26T14:45:39+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:45:48+02:00",Sant Llorenç de Morunys,25193
"2017-09-26T14:45:53+02:00",Torrelles de Foix,08288
"2017-09-26T14:45:54+02:00",Barcelona,08019
"2017-09-26T14:46:33+02:00",Sant Pol de Mar,08235
"2017-09-26T14:47:01+02:00",Vilanova i la Geltrú,08307
"2017-09-26T14:47:06+02:00",Vilanova i la Geltrú,08307
"2017-09-26T14:47:10+02:00",Figueres,17066
"2017-09-26T14:47:12+02:00",Sant Celoni,08202
"2017-09-26T14:47:19+02:00",Alpicat,25023
"2017-09-26T14:47:34+02:00",Arbúcies,17009
"2017-09-26T14:47:54+02:00",Calonge,17034
"2017-09-26T14:47:57+02:00",Rubí,08184
"2017-09-26T14:48:05+02:00",Sant Cugat del Vallès,08205
"2017-09-26T14:48:35+02:00",Calella,08035
"2017-09-26T14:48:53+02:00",Santa Coloma de Gramenet,08245
"2017-09-26T14:48:54+02:00",Mataró,08121
"2017-09-26T14:48:58+02:00",Terrassa,08279
"2017-09-26T14:49:01+02:00",Sant Celoni,08202
